FIPS,County,State,Country,Date,lat,lon,Confirmed,Deaths,Confirmed,Active,Combined_Key
47017,Carroll,Tennessee,US,2020-03-27 22:14:55,35.97366108,-88.45189331,4,0,0,0,"Carroll, Tennessee, US"
47017,Carroll,Tennessee,US,2020-03-26 23:48:35,35.97366108,-88.45189331,3,0,0,0,"Carroll, Tennessee, US"
47017,Carroll,Tennessee,US,2020-03-23 23:19:34,35.97366108,-88.45189331,2,0,0,0,"Carroll, Tennessee, US"
47017,Carroll,Tennessee,US,2020-03-24 23:37:31,35.97366108,-88.45189331,3,0,0,0,"Carroll, Tennessee, US"
47017,Carroll,Tennessee,US,2020-03-25 23:33:19,35.97366108,-88.45189331,3,0,0,0,"Carroll, Tennessee, US"
47017,Carroll,Tennessee,US,3/22/20 23:45,35.97366108,-88.45189331,2,0,0,0,"Carroll, Tennessee, US"
47019,Carter,Tennessee,US,2020-03-26 23:48:35,36.28969086,-82.12588974,0,0,0,0,"Carter, Tennessee, US"
47019,Carter,Tennessee,US,2020-03-27 22:14:55,36.28969086,-82.12588974,0,0,0,0,"Carter, Tennessee, US"
47019,Carter,Tennessee,US,2020-03-23 23:19:34,36.28969086,-82.12588974,0,0,0,0,"Carter, Tennessee, US"
47019,Carter,Tennessee,US,2020-03-24 23:37:31,36.28969086,-82.12588974,0,0,0,0,"Carter, Tennessee, US"
47019,Carter,Tennessee,US,2020-03-25 23:33:19,36.28969086,-82.12588974,0,0,0,0,"Carter, Tennessee, US"
47019,Carter,Tennessee,US,3/22/20 23:45,36.28969086,-82.12588974,0,0,0,0,"Carter, Tennessee, US"
47021,Cheatham,Tennessee,US,2020-03-26 23:48:35,36.26136216,-87.08903581,7,0,0,0,"Cheatham, Tennessee, US"
47021,Cheatham,Tennessee,US,2020-03-27 22:14:55,36.26136216,-87.08903581,7,0,0,0,"Cheatham, Tennessee, US"
47021,Cheatham,Tennessee,US,2020-03-23 23:19:34,36.26136216,-87.08903581,4,0,0,0,"Cheatham, Tennessee, US"
47021,Cheatham,Tennessee,US,2020-03-24 23:37:31,36.26136216,-87.08903581,5,0,0,0,"Cheatham, Tennessee, US"
47021,Cheatham,Tennessee,US,2020-03-25 23:33:19,36.26136216,-87.08903581,7,0,0,0,"Cheatham, Tennessee, US"
47021,Cheatham,Tennessee,US,3/22/20 23:45,36.26136216,-87.08903581,4,0,0,0,"Cheatham, Tennessee, US"
47023,Chester,Tennessee,US,2020-03-24 23:37:31,35.42527478,-88.6095842,1,0,0,0,"Chester, Tennessee, US"
47023,Chester,Tennessee,US,2020-03-26 23:48:35,35.42527478,-88.6095842,2,0,0,0,"Chester, Tennessee, US"
47023,Chester,Tennessee,US,3/22/20 23:45,35.42527478,-88.6095842,1,0,0,0,"Chester, Tennessee, US"
47023,Chester,Tennessee,US,2020-03-25 23:33:19,35.42527478,-88.6095842,1,0,0,0,"Chester, Tennessee, US"
47023,Chester,Tennessee,US,2020-03-27 22:14:55,35.42527478,-88.6095842,2,0,0,0,"Chester, Tennessee, US"
47023,Chester,Tennessee,US,2020-03-23 23:19:34,35.42527478,-88.6095842,1,0,0,0,"Chester, Tennessee, US"
47025,Claiborne,Tennessee,US,2020-03-25 23:33:19,36.48319149,-83.65947309,1,0,0,0,"Claiborne, Tennessee, US"
47025,Claiborne,Tennessee,US,2020-03-23 23:19:34,36.48319149,-83.65947309,1,0,0,0,"Claiborne, Tennessee, US"
47025,Claiborne,Tennessee,US,2020-03-27 22:14:55,36.48319149,-83.65947309,2,0,0,0,"Claiborne, Tennessee, US"
47025,Claiborne,Tennessee,US,3/22/20 23:45,36.48319149,-83.65947309,0,0,0,0,"Claiborne, Tennessee, US"
47025,Claiborne,Tennessee,US,2020-03-24 23:37:31,36.48319149,-83.65947309,1,0,0,0,"Claiborne, Tennessee, US"
47025,Claiborne,Tennessee,US,2020-03-26 23:48:35,36.48319149,-83.65947309,2,0,0,0,"Claiborne, Tennessee, US"
47027,Clay,Tennessee,US,3/22/20 23:45,36.55151008,-85.53930419,0,0,0,0,"Clay, Tennessee, US"
47027,Clay,Tennessee,US,2020-03-27 22:14:55,36.55151008,-85.53930419,0,0,0,0,"Clay, Tennessee, US"
47027,Clay,Tennessee,US,2020-03-25 23:33:19,36.55151008,-85.53930419,0,0,0,0,"Clay, Tennessee, US"
47027,Clay,Tennessee,US,2020-03-23 23:19:34,36.55151008,-85.53930419,0,0,0,0,"Clay, Tennessee, US"
47027,Clay,Tennessee,US,2020-03-24 23:37:31,36.55151008,-85.53930419,0,0,0,0,"Clay, Tennessee, US"
47027,Clay,Tennessee,US,2020-03-26 23:48:35,36.55151008,-85.53930419,0,0,0,0,"Clay, Tennessee, US"
47029,Cocke,Tennessee,US,3/22/20 23:45,35.9278914,-83.11828725,1,0,0,0,"Cocke, Tennessee, US"
47029,Cocke,Tennessee,US,2020-03-27 22:14:55,35.9278914,-83.11828725,1,0,0,0,"Cocke, Tennessee, US"
47029,Cocke,Tennessee,US,2020-03-23 23:19:34,35.9278914,-83.11828725,1,0,0,0,"Cocke, Tennessee, US"
47029,Cocke,Tennessee,US,2020-03-25 23:33:19,35.9278914,-83.11828725,1,0,0,0,"Cocke, Tennessee, US"
47029,Cocke,Tennessee,US,2020-03-24 23:37:31,35.9278914,-83.11828725,1,0,0,0,"Cocke, Tennessee, US"
47029,Cocke,Tennessee,US,2020-03-26 23:48:35,35.9278914,-83.11828725,1,0,0,0,"Cocke, Tennessee, US"
47031,Coffee,Tennessee,US,2020-03-23 23:19:34,35.49090731,-86.07311784,0,0,0,0,"Coffee, Tennessee, US"
