County,03/22,03/23,03/24,03/25,03/26,03/27,03/28,03/29,03/30,03/31,04/01,04/02,04/03,04/04,04/05,04/06,04/07,04/08,04/09,04/10,04/11,04/12,04/13,04/14,04/15,04/16,04/17,04/18,04/19,04/20,04/21,04/22,04/24,04/25,04/26,04/27,04/28,04/29,04/30,05/01,05/02,05/03,05/04,05/05,05/06,05/07,05/08,05/09,05/10,05/11,05/12,05/13,05/14,05/15,05/16,05/17,05/18,05/19,05/20,05/21,05/22,05/23,05/24,05/25,05/26,05/27,05/28,05/29,05/30,05/31,06/01,06/02,06/03,06/04,06/05,06/06,06/07,06/08,06/09,06/10,06/11,06/12,06/13,06/14,06/15,06/16,06/17,06/18,06/19,06/20,06/21,06/22,06/23,06/24,06/25,06/26,06/27,06/28,06/29,06/30,07/01,07/02,07/03,07/04,07/05,07/06,07/07,07/08,07/09,07/10,07/11,07/12,07/13,07/14,07/15,07/16,07/17,07/18,07/19,07/20,07/21,07/22,07/23,07/24,07/25,07/26,07/27,07/28,07/29,07/30,07/31,08/01,08/02,08/03,08/04,08/05,08/06,08/07,08/08,08/09
Morris,119,177,204,223,315,391,442,566,720,841,942,1082,1298,1618,1800,1956,2239,2468,2645,2771,2925,3099,3225,3424,3525,3701,3822,3984,4136,4236,4236,4556,4680,4716,4821,4976,5030,5128,5213,5287,5354,5406,5517,5549,5625,5655,5702,5767,5833,5854,5876,5908,5926,5954,5990,6012,6036,6092,6100,6139,6155,6171,6192,6207,6259,6279,6289,6354,6367,6383,6463,6506,6512,6540,6548,6572,6584,6592,6602,6605,6596,6601,6556,6568,6581,6588,6599,6627,6652,6679,6689,6699,6718,6727,6724,6685,6698,6715,6730,6735,6738,6757,6777,6790,6800,6809,6820,6830,6854,6864,6875,6887,6902,6909,6921,6926,6932,6937,6952,6958,6967,6990,7010,7016,7035,7052,7065,7076,7091,7102,7109,7136,7144,7156,7167,7179,7195,7209,7224,7235
Burlington,26,36,42,48,64,88,115,142,178,202,255,294,367,469,547,646,733,801,883,954,1031,1095,1155,1207,1261,1326,1366,1456,1587,1663,1765,1878,1969,2054,2153,2333,2407,2543,2606,2690,2769,2879,3043,3100,3207,3235,3367,3431,3531,3574,3665,3697,3726,3782,3849,3875,3937,3986,4000,4058,4097,4217,4252,4308,4355,4381,4432,4476,4519,4567,4627,4657,4680,4700,4725,4746,4769,4785,4798,4808,4826,4832,4848,4866,4876,4894,4929,4935,4954,4981,4994,5023,5046,5056,5068,5084,5092,5125,5136,5142,5168,5189,5221,5238,5243,5262,5277,5295,5306,5316,5332,5360,5375,5382,5412,5419,5430,5419,5440,5442,5450,5478,5490,5502,5533,5567,5594,5642,5684,5721,5732,5781,5812,5831,5846,5880,5907,5927,5952,5977
Somerset,51,67,102,117,179,222,258,295,349,413,472,549,641,765,833,902,1033,1160,1335,1523,1642,1732,1809,1911,2001,2103,2195,2283,2384,2488,2488,2688,2798,2921,3030,3144,3204,3278,3372,3464,3537,3605,3703,3753,3820,3860,3914,3968,3996,4054,4093,4115,4127,4159,4181,4212,4255,4278,4312,4349,4390,4416,4425,4450,4480,4489,4505,4522,4552,4567,4583,4595,4605,4619,4626,4651,4664,4662,4670,4679,4698,4721,4736,4756,4759,4764,4767,4780,4786,4796,4806,4813,4819,4818,4819,4828,4831,4841,4857,4858,4869,4881,4912,4919,4928,4937,4943,4945,4950,4952,4974,4998,5014,5018,5036,5057,5059,5061,5070,5065,5068,5072,5082,5094,5106,5120,5131,5139,5155,5163,5170,5177,5186,5190,5195,5199,5202,5217,5223,5231
Atlantic,5,6,6,12,10,14,17,24,29,31,40,50,72,98,121,132,144,168,191,211,230,253,267,284,322,344,370,382,398,410,469,505,544,566,596,638,749,868,908,964,1012,1050,1075,1135,1190,1246,1302,1423,1494,1510,1533,1558,1584,1649,1678,1716,1758,1807,1838,1875,1895,1919,1936,1961,2028,2049,2087,2120,2154,2183,2214,2222,2251,2284,2286,2309,2330,2364,2383,2401,2422,2431,2453,2475,2490,2497,2539,2553,2583,2619,2638,2702,2722,2750,2771,2787,2811,2822,2839,2845,2863,2878,2898,2924,2926,2936,2949,2961,2962,2976,2987,3001,3015,3023,3047,3060,3079,3087,3109,3116,3126,3148,3161,3169,3189,3222,3245,3271,3297,3323,3331,3364,3381,3393,3408,3420,3436,3442,3446,3456
Cumberland,1,1,2,3,4,9,11,11,12,18,27,31,36,40,54,64,71,80,111,138,154,165,187,201,210,223,263,272,308,338,360,382,424,466,504,520,595,659,687,723,746,809,881,940,985,1059,1090,1124,1245,1287,1363,1427,1447,1471,1488,1592,1608,1679,1759,1830,1869,1921,1924,1947,1991,2024,2098,2146,2209,2259,2298,2310,2345,2431,2469,2531,2557,2564,2575,2583,2604,2627,2645,2661,2666,2697,2728,2745,2755,2767,2792,2847,2876,2894,2908,2917,2925,2936,2942,2946,2963,2980,2991,2998,3005,3017,3021,3029,3030,3032,3043,3046,3051,3056,3063,3068,3072,3074,3075,3076,3079,3088,3095,3100,3108,3118,3127,3144,3166,3178,3184,3215,3228,3240,3253,3275,3290,3309,3318,3332
Gloucester,8,13,19,23,33,40,51,72,89,114,149,169,183,215,248,279,311,340,413,447,487,532,566,587,602,624,664,683,737,770,808,856,899,923,949,976,1111,1179,1208,1251,1282,1334,1384,1433,1467,1499,1548,1593,1631,1654,1690,1710,1728,1756,1788,1811,1832,1907,1935,1966,2002,2031,2044,2066,2089,2103,2130,2165,2198,2217,2234,2245,2262,2278,2290,2310,2319,2328,2332,2340,2357,2367,2379,2402,2414,2416,2423,2428,2438,2451,2457,2467,2471,2489,2497,2518,2531,2547,2557,2563,2578,2596,2610,2619,2630,2645,2656,2671,2691,2697,2712,2739,2758,2764,2788,2797,2808,2808,2820,2824,2829,2855,2870,2894,2920,2945,2969,2986,2999,3017,3031,3059,3080,3097,3106,3130,3164,3193,3216,3236
Warren,9,12,15,18,31,38,51,56,68,76,96,116,149,182,195,215,255,289,319,337,362,395,416,442,468,501,521,543,592,613,613,689,719,729,750,778,810,848,880,903,920,941,957,977,982,993,1004,1034,1040,1044,1047,1061,1066,1068,1072,1077,1078,1086,1091,1100,1111,1118,1119,1125,1132,1136,1145,1146,1153,1162,1160,1165,1173,1182,1186,1189,1190,1189,1192,1193,1197,1198,1200,1202,1202,1202,1205,1206,1205,1209,1211,1216,1218,1221,1222,1224,1225,1227,1228,1230,1233,1241,1243,1246,1249,1253,1255,1258,1262,1261,1262,1263,1265,1265,1267,1267,1268,1272,1273,1276,1280,1286,1295,1296,1302,1308,1312,1315,1321,1327,1326,1329,1329,1330,1330,1331,1336,1339,1340,1343
Sussex,12,15,18,27,49,65,81,93,113,132,158,179,210,236,267,292,331,357,392,413,456,483,508,535,551,578,591,626,659,680,688,743,784,795,812,855,864,882,900,921,936,949,969,979,987,995,1006,1015,1023,1026,1033,1046,1042,1046,1050,1053,1060,1061,1065,1069,1077,1075,1079,1079,1084,1089,1095,1104,1106,1110,1110,1114,1123,1128,1131,1155,1160,1160,1172,1172,1179,1179,1179,1190,1190,1190,1190,1203,1208,1213,1216,1220,1220,1220,1224,1183,1185,1184,1189,1190,1192,1197,1198,1199,1210,1209,1211,1214,1219,1220,1221,1225,1229,1230,1233,1236,1241,1240,1243,1246,1250,1253,1256,1259,1264,1271,1277,1285,1286,1290,1293,1295,1300,1307,1307,1314,1316,1320,1322,1327
Hunterdon,16,18,25,25,39,52,61,66,79,97,117,130,148,171,189,211,234,255,286,293,301,314,325,349,356,373,385,391,407,419,423,434,464,490,505,536,564,573,583,603,608,622,661,665,679,682,685,701,706,714,723,729,732,764,777,795,808,846,885,920,925,938,938,960,966,967,973,974,981,985,993,996,999,1006,1009,1015,1022,1023,1025,1027,1028,1032,1034,1038,1039,1041,1042,1049,1049,1050,1053,1054,1060,1062,1064,1065,1065,1065,1074,1076,1080,1081,1083,1085,1087,1088,1090,1090,1091,1094,1096,1094,1094,1094,1095,1098,1098,1099,1101,1100,1100,1101,1102,1102,1113,1115,1120,1122,1123,1125,1125,1130,1136,1137,1138,1139,1144,1144,1146,1148
Salem,1,1,1,1,2,3,3,3,3,12,19,20,25,25,26,29,31,36,43,46,56,61,66,73,84,95,102,105,116,120,120,134,164,169,177,181,212,219,227,231,237,261,270,312,347,353,358,363,400,411,411,418,428,438,446,457,459,465,470,481,484,523,535,552,566,573,579,592,602,621,634,639,645,653,659,665,670,675,682,686,687,689,699,705,706,708,711,723,736,745,748,750,752,752,750,751,754,755,756,762,768,778,779,794,797,802,805,807,808,811,812,813,815,815,818,821,822,824,830,831,831,837,841,843,849,855,856,859,866,866,867,865,869,871,877,880,881,886,886,892
Cape May,2,2,3,4,6,7,7,9,9,12,22,34,44,50,77,85,94,100,109,116,129,145,164,169,178,186,189,199,206,212,217,227,236,247,261,281,281,299,305,323,334,337,344,355,369,378,401,424,442,458,462,471,479,483,487,500,503,506,518,531,534,545,558,561,570,571,592,602,611,615,617,623,628,629,630,637,643,646,647,654,662,663,664,669,671,672,681,682,680,681,705,688,692,694,697,704,706,705,732,712,740,712,713,714,715,716,720,720,718,723,726,732,732,733,740,744,747,749,752,754,757,760,762,767,776,780,788,800,800,802,803,806,809,810,813,817,819,823,822,824
