County,03/22,03/23,03/24,03/25,03/26,03/27,03/28,03/29,03/30,03/31,04/01,04/02,04/03,04/04,04/05,04/06,04/07,04/08,04/09,04/10,04/11,04/12,04/13,04/14,04/15,04/16,04/17,04/18,04/19
Fairfax,31.0,43.0,46.0,76.0,79.0,124.0,156.0,188.0,224.0,244.0,288.0,328.0,372.0,387.0,426.0,488.0,532.0,570.0,690.0,777.0,946.0,1008.0,1164.0,1207.0,1298.0,1375.0,1476.0,1633.0,1809.0
Prince William,18.0,18.0,23.0,32.0,36.0,44.0,56.0,72.0,79.0,94.0,106.0,117.0,131.0,159.0,175.0,193.0,236.0,263.0,299.0,337.0,390.0,389.0,434.0,508.0,536.0,582.0,644.0,700.0,742.0
Henrico,8.0,11.0,14.0,20.0,21.0,28.0,31.0,40.0,44.0,62.0,78.0,87.0,112.0,174.0,194.0,207.0,267.0,291.0,319.0,342.0,368.0,379.0,397.0,432.0,453.0,497.0,532.0,559.0,584.0
Arlington,26.0,34.0,36.0,46.0,54.0,63.0,75.0,84.0,86.0,104.0,119.0,128.0,135.0,150.0,181.0,203.0,237.0,254.0,280.0,312.0,349.0,366.0,390.0,401.0,420.0,453.0,485.0,520.0,575.0
Loudoun,15.0,15.0,18.0,20.0,28.0,43.0,54.0,61.0,61.0,87.0,105.0,121.0,130.0,150.0,167.0,188.0,209.0,238.0,258.0,274.0,296.0,309.0,324.0,344.0,367.0,378.0,385.0,413.0,425.0
Alexandria,5.0,6.0,8.0,9.0,14.0,18.0,20.0,25.0,26.0,30.0,32.0,33.0,56.0,68.0,74.0,93.0,126.0,143.0,149.0,174.0,188.0,198.0,235.0,247.0,254.0,275.0,321.0,354.0,383.0
Chesterfield,8.0,9.0,10.0,11.0,12.0,12.0,12.0,12.0,21.0,43.0,59.0,73.0,89.0,106.0,108.0,108.0,128.0,145.0,158.0,179.0,203.0,209.0,211.0,241.0,254.0,267.0,291.0,310.0,311.0
Virginia Beach,17.0,17.0,17.0,23.0,26.0,29.0,35.0,49.0,52.0,65.0,88.0,111.0,128.0,160.0,170.0,178.0,200.0,207.0,219.0,224.0,236.0,243.0,251.0,252.0,256.0,258.0,265.0,271.0,273.0
Harrisonburg,1.0,1.0,1.0,2.0,3.0,5.0,5.0,5.0,6.0,6.0,10.0,15.0,22.0,22.0,25.0,27.0,27.0,36.0,39.0,57.0,79.0,81.0,87.0,95.0,101.0,119.0,214.0,233.0,236.0
Richmond City,0.0,8.0,11.0,13.0,14.0,17.0,20.0,25.0,25.0,26.0,33.0,52.0,76.0,96.0,99.0,105.0,110.0,119.0,126.0,139.0,148.0,154.0,167.0,175.0,177.0,188.0,201.0,211.0,231.0
Chesapeake,0.0,0.0,1.0,3.0,4.0,5.0,7.0,17.0,18.0,23.0,31.0,39.0,50.0,65.0,72.0,77.0,80.0,99.0,101.0,109.0,115.0,121.0,126.0,136.0,140.0,143.0,147.0,154.0,162.0
Stafford,5.0,6.0,6.0,6.0,11.0,11.0,11.0,11.0,20.0,24.0,28.0,27.0,29.0,38.0,41.0,43.0,49.0,48.0,54.0,60.0,67.0,72.0,87.0,95.0,108.0,120.0,128.0,143.0,152.0
James City,32.0,34.0,37.0,41.0,49.0,55.0,65.0,70.0,73.0,89.0,95.0,97.0,104.0,111.0,117.0,118.0,119.0,122.0,123.0,125.0,126.0,126.0,126.0,128.0,132.0,135.0,138.0,139.0,141.0
Norfolk,3.0,5.0,8.0,8.0,9.0,8.0,10.0,14.0,17.0,27.0,33.0,37.0,43.0,55.0,59.0,60.0,72.0,77.0,84.0,88.0,90.0,90.0,99.0,99.0,99.0,105.0,108.0,109.0,111.0
Newport News,2.0,2.0,3.0,4.0,8.0,12.0,13.0,17.0,18.0,23.0,29.0,33.0,37.0,48.0,51.0,54.0,57.0,60.0,64.0,68.0,75.0,78.0,88.0,93.0,95.0,97.0,100.0,102.0,102.0
Rockingham,2.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,9.0,11.0,11.0,15.0,16.0,15.0,16.0,20.0,21.0,31.0,44.0,43.0,49.0,56.0,67.0,69.0,83.0,100.0,100.0
Manassas,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,7.0,8.0,9.0,12.0,13.0,14.0,14.0,17.0,20.0,20.0,25.0,29.0,34.0,34.0,41.0,49.0,53.0,62.0,72.0,82.0,93.0
Suffolk,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,6.0,10.0,20.0,22.0,28.0,30.0,31.0,31.0,35.0,40.0,48.0,51.0,57.0,59.0,65.0,70.0,81.0,91.0
Isle of Wight,1.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,5.0,8.0,11.0,18.0,18.0,22.0,23.0,23.0,24.0,24.0,28.0,31.0,33.0,60.0,60.0,63.0,69.0,83.0,86.0
Hanover,1.0,2.0,1.0,2.0,2.0,2.0,3.0,4.0,5.0,6.0,6.0,8.0,12.0,12.0,12.0,13.0,19.0,22.0,29.0,31.0,38.0,38.0,39.0,52.0,53.0,61.0,70.0,79.0,84.0
Hampton,0.0,0.0,0.0,0.0,1.0,5.0,7.0,7.0,9.0,13.0,14.0,16.0,29.0,39.0,40.0,41.0,43.0,53.0,53.0,62.0,64.0,65.0,72.0,73.0,75.0,77.0,78.0,79.0,83.0
Frederick,0.0,0.0,0.0,2.0,2.0,4.0,4.0,8.0,10.0,12.0,15.0,16.0,20.0,24.0,27.0,31.0,43.0,46.0,54.0,62.0,63.0,65.0,66.0,71.0,73.0,72.0,76.0,81.0,81.0
Spotsylvania,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,6.0,7.0,8.0,9.0,11.0,18.0,24.0,26.0,29.0,31.0,36.0,43.0,47.0,50.0,51.0,56.0,60.0,62.0,69.0,72.0,74.0
Fluvanna,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,7.0,9.0,9.0,12.0,16.0,15.0,19.0,21.0,23.0,40.0,62.0,64.0,64.0,66.0,66.0
Mecklenburg,1.0,1.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,7.0,8.0,12.0,12.0,12.0,16.0,25.0,48.0,53.0,55.0,57.0,57.0,57.0,61.0,62.0,64.0,65.0
Portsmouth,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,4.0,12.0,13.0,16.0,17.0,26.0,26.0,27.0,36.0,41.0,44.0,48.0,49.0,51.0,54.0,59.0,59.0,62.0,63.0,65.0,65.0
Albemarle,2.0,2.0,2.0,4.0,6.0,8.0,16.0,17.0,19.0,21.0,21.0,23.0,26.0,27.0,32.0,34.0,38.0,41.0,43.0,43.0,46.0,46.0,49.0,50.0,53.0,54.0,56.0,56.0,57.0
Goochland,2.0,2.0,3.0,3.0,3.0,3.0,5.0,6.0,6.0,7.0,7.0,9.0,8.0,10.0,15.0,17.0,22.0,24.0,24.0,26.0,26.0,32.0,38.0,39.0,40.0,41.0,52.0,55.0,55.0
York,5.0,5.0,6.0,8.0,9.0,9.0,9.0,9.0,11.0,14.0,16.0,17.0,17.0,19.0,20.0,21.0,25.0,25.0,25.0,25.0,27.0,29.0,33.0,35.0,35.0,37.0,38.0,38.0,44.0
Culpeper,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,5.0,6.0,7.0,8.0,8.0,8.0,9.0,10.0,13.0,14.0,17.0,19.0,20.0,24.0,25.0,29.0,32.0,39.0,43.0
Montgomery,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,7.0,16.0,16.0,17.0,18.0,31.0,32.0,32.0,33.0,34.0,34.0,40.0,42.0,42.0
Accomack,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,6.0,7.0,7.0,10.0,8.0,8.0,11.0,11.0,11.0,11.0,11.0,12.0,15.0,15.0,15.0,15.0,15.0,19.0,28.0,33.0,42.0
Charlottesville,4.0,4.0,5.0,6.0,9.0,11.0,12.0,12.0,13.0,14.0,16.0,17.0,17.0,21.0,23.0,22.0,23.0,23.0,27.0,28.0,31.0,31.0,33.0,36.0,38.0,38.0,40.0,41.0,41.0
Fauquier,0.0,0.0,0.0,0.0,1.0,4.0,6.0,6.0,6.0,7.0,7.0,8.0,9.0,10.0,10.0,11.0,18.0,17.0,20.0,23.0,25.0,25.0,28.0,28.0,29.0,32.0,35.0,36.0,39.0
Shenandoah,0.0,0.0,0.0,3.0,3.0,3.0,3.0,4.0,6.0,7.0,8.0,9.0,10.0,10.0,12.0,13.0,13.0,13.0,15.0,15.0,16.0,17.0,17.0,23.0,27.0,28.0,33.0,39.0,39.0
Lynchburg,0.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,4.0,5.0,7.0,9.0,9.0,10.0,10.0,11.0,20.0,20.0,21.0,27.0,31.0,31.0,33.0,33.0,34.0,34.0,38.0,38.0,38.0
Louisa,1.0,2.0,2.0,3.0,4.0,5.0,6.0,6.0,8.0,9.0,12.0,12.0,12.0,13.0,14.0,14.0,14.0,16.0,17.0,20.0,25.0,25.0,27.0,27.0,29.0,30.0,33.0,33.0,33.0
Washington,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,5.0,5.0,10.0,12.0,15.0,17.0,24.0,24.0,28.0,28.0,27.0,27.0,28.0,27.0,29.0
Prince George,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,5.0,7.0,8.0,8.0,10.0,16.0,18.0,18.0,21.0,24.0,25.0,26.0,26.0,26.0,27.0,27.0,27.0,26.0,28.0,28.0,28.0
Danville,1.0,1.0,1.0,2.0,2.0,4.0,4.0,5.0,4.0,4.0,4.0,7.0,9.0,12.0,12.0,13.0,15.0,15.0,19.0,20.0,20.0,20.0,21.0,22.0,22.0,22.0,22.0,24.0,27.0
Buckingham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,6.0,9.0,9.0,10.0,14.0,14.0,16.0,18.0,22.0,23.0,24.0,25.0,26.0
Manassas Park,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,4.0,5.0,5.0,7.0,10.0,10.0,10.0,13.0,14.0,16.0,21.0,21.0,25.0
Winchester,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,5.0,5.0,9.0,10.0,11.0,13.0,14.0,15.0,16.0,16.0,19.0,19.0,20.0,20.0,21.0,21.0,22.0,25.0,25.0
Botetourt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,5.0,6.0,8.0,8.0,14.0,15.0,15.0,18.0,18.0,18.0,21.0,22.0,23.0,24.0,24.0,23.0,23.0,23.0,23.0,24.0
Roanoke City,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,6.0,6.0,6.0,9.0,4.0,10.0,10.0,11.0,12.0,14.0,15.0,16.0,17.0,20.0,21.0,21.0,22.0,24.0,24.0,24.0,24.0
Warren,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,6.0,8.0,9.0,10.0,15.0,15.0,17.0,19.0,20.0,21.0,22.0,24.0,24.0
Roanoke,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,4.0,9.0,5.0,5.0,5.0,8.0,9.0,9.0,13.0,13.0,14.0,18.0,18.0,17.0,19.0,20.0,20.0,22.0
Gloucester,2.0,2.0,2.0,2.0,2.0,3.0,6.0,6.0,7.0,7.0,8.0,8.0,8.0,9.0,10.0,12.0,15.0,16.0,16.0,18.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,21.0,21.0
Petersburg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,8.0,10.0,10.0,10.0,10.0,9.0,12.0,13.0,17.0,17.0,19.0,19.0,19.0,19.0,21.0,21.0,21.0
Orange,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,4.0,5.0,5.0,5.0,7.0,7.0,9.0,14.0,13.0,13.0,14.0,15.0,17.0,18.0,19.0,20.0,20.0
Williamsburg,5.0,5.0,5.0,5.0,5.0,5.0,6.0,7.0,7.0,8.0,9.0,9.0,9.0,10.0,12.0,13.0,14.0,16.0,16.0,17.0,17.0,17.0,20.0,20.0,19.0,19.0,19.0,19.0,19.0
King George,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,6.0,8.0,8.0,10.0,10.0,11.0,13.0,14.0,13.0,14.0,14.0,16.0,17.0,18.0,18.0,18.0,18.0
